name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
侨办大院,3室1厅,810,86.2平米,中楼层(共17层),1993年建塔楼
格调,3室2厅,855,138.79平米,低楼层(共23层),2000年建板塔结合
常青藤嘉园,2室1厅,480,88.78平米,高楼层(共22层),2004年建塔楼
裕中西里,2室1厅,560,64.3平米,低楼层(共20层),1983年建塔楼
格调,2室2厅,610,100.48平米,低楼层(共16层),2002年建板塔结合
西环景苑,2室1厅,445,92.56平米,中楼层(共19层),2001年建塔楼
牛街东里,1室1厅,300,54.26平米,高楼层(共19层),1999年建塔楼
牛街东里,1室1厅,300,56.98平米,中楼层(共19层),1999年建塔楼
考拉社区,1室1厅,270,57.44平米,中楼层(共21层),2000年建塔楼
时代之光名苑,2室1厅,550,103.58平米,中楼层(共16层),2001年建塔楼
西豪逸景,2室1厅,456,69.16平米,高楼层(共28层),2002年建塔楼
西城晶华,1室1厅,820,73.14平米,中楼层(共11层),2004年建板塔结合
丽水莲花,1室1厅,315,60.25平米,高楼层(共26层),2004年建板塔结合
荣丰2008,1室0厅,295,61平米,高楼层(共26层),2000年建塔楼
丽阳四季,3室2厅,660,124.76平米,低楼层(共14层),2001年建板塔结合
阳光丽景,2室1厅,1100,106.7平米,中楼层(共18层),2003年建板塔结合
爱民里小区,1室1厅,500,48.1平米,低楼层(共7层),1989年建板楼
椿树园,3室2厅,835,111.34平米,中楼层(共14层),1999年建板塔结合
裕中西里,2室1厅,585,71平米,高楼层(共20层),1983年建塔楼
椿树园,3室2厅,665,84.29平米,中楼层(共18层),1999年建塔楼
西豪逸景,2室1厅,380,79.64平米,高楼层(共28层),2000年建塔楼
椿树园,2室1厅,710,85平米,低楼层(共13层),1998年建板塔结合
丰汇园小区,1室1厅,730,46.6平米,低楼层(共13层),1999年建板塔结合
北欧印象,3室2厅,650,120.13平米,高楼层(共28层),2003年建塔楼
乐城,1室0厅,258,43平米,中楼层(共24层),2004年建板塔结合
牛街东里,1室1厅,312,54.67平米,高楼层(共19层),1999年建塔楼
融城,3室2厅,1300,160.36平米,低楼层(共22层),2000年建板塔结合
信德园,3室2厅,580,137.81平米,中楼层(共21层),2002年建塔楼
北礼士路,2室1厅,470,60平米,低楼层(共12层),1998年建板塔结合
百万庄1号院,2室1厅,450,54.2平米,中楼层(共6层),1985年建板楼
大井胡同,2室1厅,497,59.4平米,低楼层(共6层),1987年建板楼
南线里小区,2室1厅,395,71.18平米,高楼层(共22层),1999年建塔楼
国英园,1室1厅,410,52.3平米,低楼层(共6层),1992年建板楼
恒昌花园,4室2厅,800,198平米,低楼层(共23层),1996年建塔楼
广外南街50号院,3室1厅,680,117平米,高楼层(共22层),1999年建塔楼
新外大街甲8号院,2室1厅,589,62平米,中楼层(共6层),1986年建板楼
教场口9号院,3室1厅,650,85.6平米,低楼层(共19层),2001年建塔楼
宣武门西大街26号院,3室1厅,825,107平米,中楼层(共14层),1992年建板塔结合
朗琴园,2室2厅,700,100.92平米,低楼层(共27层),2000年建塔楼
白云观,2室1厅,510,59.2平米,低楼层(共6层),1980年建板楼
太平桥东里,3室1厅,275,66.49平米,高楼层(共18层),1989年建塔楼
裕中西里,3室1厅,890,89.3平米,低楼层(共20层),1981年建板塔结合
西环景苑,3室1厅,700,137.44平米,低楼层(共19层),1999年建塔楼
